project_id,project_name,create_time
project1_111,project1,10:40AM 6/12/2019
statistics1565890462,statistics,2019-08-15 10:34:24
statistics21565892249,statistics2,2019-08-15 11:04:11
subset1565892334,subset,2019-08-15 11:05:36
statistics31565930040,statistics3,2019-08-15 21:34:03
subset21565939155,subset2,2019-08-16 00:05:58
subset31565940717,subset3,2019-08-16 00:32:00
subset not done1565966559,subset not done,2019-08-16 07:42:42
analysis1565969097,analysis,2019-08-16 08:25:00
t-test1565982968,t-test,2019-08-16 12:16:11
statistical power1566177551,statistical power,2019-08-18 18:19:12
test1566185193,test,2019-08-18 20:26:35
1566238389,"",2019-08-19 11:13:11
test21566238483,test2,2019-08-19 11:14:45
test31566238542,test3,2019-08-19 11:15:44
