"species","treatment","organ","mx sample id","fake_two_group","id","two_groups","label"
"Mice","Non Swimming","Heart","415186","A","M102","Control MHC","M102"
"Mice","Non Swimming","Heart","415186","B","M103","Control MHC","M102.1"
"Mice","Non Swimming","Heart","415186","A","M104","Control MHC","M104"
"Mice","Non Swimming","Heart","415186","B","M105","Control MHC","M105"
"Mice","Non Swimming","Heart","415186","A","M121","Control MHC","M121"
"Mice","Non Swimming","Heart","415186","B","M156","Control MHC","M156"
"Mice","Non Swimming","Heart","415186","A","M62","Control MHC","M62"
"Mice","Non Swimming","Heart","415186","B","M70","Control MHC","M70"
"Mice","Non Swimming","Heart","415186","A","M100","MHC","M100"
"Mice","Non Swimming","Heart","415186","B","M101","MHC","M101"
"Mice","Non Swimming","Heart","415186","A","M129","MHC","M129"
"Mice","Non Swimming","Heart","415186","B","M130","MHC","M130"
"Mice","Non Swimming","Heart","415186","A","M177","MHC","M177"
"Mice","Non Swimming","Heart","415186","B","M59","MHC","M59"
"Mice","Non Swimming","Heart","415186","A","M96","MHC","M96"
"Mice","Non Swimming","Heart","415186","B","M98","MHC","M98"
